Numéro compte;Numéro facture;Date;Niveau de charge;Type d'accès;Numéro accès;Libellé ligne facture;Rubrique facture;Indicateur abo principal/option;Type de charge;Type de trafic;Unité;Quantité (Acte);Nombre de lignes;Quantité (Volume (Mo));Quantité (Durée (hh:mm:ss));Quantité (Volume (Ko));Quantité (Hors conso);Montant (€ HT);Montant TVA;Montant (€ TTC)
61338355;91830563;30/09/2025;Numéro accès réseau;data;0637151612;Contrôle Multimédia;forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
61338355;91830563;30/09/2025;Numéro accès réseau;data;0637151612;data illimité national + Europe (UE + EEA + Suisse/Andorre);consommations;Non;Consommations;incluses ou décomptées des forfaits - data;Volume (Mo);0,0;1,0;3052,839;0,0;0,0;0,0;0,0;0,0;0,0
61338355;91830563;30/09/2025;Numéro accès réseau;data;0637151612;data only;forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
61338355;91830563;30/09/2025;Numéro accès réseau;data;0637151612;facture détaillée longue;forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
61338355;91830563;30/09/2025;Numéro accès réseau;data;0637151612;forfait connect (12 mois);forfaits, formules et options;Oui;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;6,0;1,2;7,199999999999999
61338355;91830563;30/09/2025;Numéro accès réseau;data;0637151612;messagerie vocale visuelle;forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
61338355;91830563;30/09/2025;Numéro accès réseau;data;0637151612;remise abonnement;forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-2,6;-0,52;-3,12
61338355;91830563;30/09/2025;Numéro accès réseau;data;0637151612;remise smartphone connect 5 Go 12 mois (88,33%);forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;-31,8;-6,36;-38,16
61338355;91830563;30/09/2025;Numéro accès réseau;data;0637151612;smartphone connect 5 Go 12 mois;forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;36,0;7,2;43,199999999999996
61338355;91830563;30/09/2025;Numéro accès réseau;data;0642984522;Contrôle Multimédia;forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
61338355;91830563;30/09/2025;Numéro accès réseau;data;0642984522;data illimité national + Europe (UE + EEA + Suisse/Andorre);consommations;Non;Consommations;incluses ou décomptées des forfaits - data;Volume (Mo);0,0;1,0;26480,238;0,0;0,0;0,0;0,0;0,0;0,0
61338355;91830563;30/09/2025;Numéro accès réseau;data;0642984522;data only;forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
61338355;91830563;30/09/2025;Numéro accès réseau;data;0642984522;facture détaillée longue;forfaits, formules et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0
61338355;91830563;30/09/2025;Numéro accès réseau;data;0642984522;forfait connect (12 mois);forfaits, formules et options;Oui;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;1,0;6,0;1,2;7,199999999999999
