Numéro compte;Numéro facture;Date;Niveau de charge;Type d'accès;Numéro accès;Libellé ligne facture;Rubrique facture;Indicateur abo principal/option;Type de charge;Type de trafic;Unité;Quantité (Acte);Nombre de lignes;Quantité (Volume (Mo));Quantité (Durée (hh:mm:ss));Quantité (Volume (Ko));Quantité (Hors conso);Montant (€ HT);Montant TVA;Montant (€ TTC)
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546741923;Contrat Professionnel;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;66,2;13,24;79,44
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546741923;remise sur Contrat Pro 6,84% - compensation augmentation 2022;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,17;-0,634;-3,804
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546741923;remise sur Contrat Pro 7,553% - compensation augmentation 2025;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-2,73;-0,546;-3,276
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546741923;remise sur Contrat Pro 8,17% - compensation augmentation 2024;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,21;-0,642;-3,852
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546741923;remise sur Contrat Pro 8,9% - compensation augmentation 2023;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-3,84;-0,768;-4,608
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546741923;remise sur ligne analogique 30%;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;-19,86;-3,972;-23,831999999999997
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;Contrat Professionnel;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;66,2;13,24;79,44
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;Liaisons Louées;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;Ligne supplémentaire extérieur-redevance complémentaire;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;27,94;5,588000000000001;33,528
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;Ligne supplémentaire extérieur-redevance fixe;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;4,26;0,8519999999999999;5,111999999999999
802673987;303761668;05/11/2025;Numéro accès réseau;ligne téléphonique;0546742097;Messagerie vocale 3103;abonnements et options;Non;Abonnements, forfaits, formules et options;;Hors conso;0,0;1,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0
